id;league-name;first-match;champion;record-player;games-record-player
1;Die Liga - Fuﬂballverband;1963-08-24;1;Karl-Heinz Kˆrbel ;602
2;Die Liga - Fuﬂballverband;1974-08-02;17;Willi Landgraf ;508
3;Deutscher Fuﬂball-Bund;2008-07-25;29;Jens Truckenbrod;209;
