id;club-id;trikot-number;player-name;country;total-games;goals;assists
133;15;25;John Brooks;D;21;1;1
134;15;5;Niklas Stark;D;19;2;0
135;15;23;Johannes van den Bergh;D;13;0;1
136;15;2;Peter Pekarik;SVK;11;0;1
137;15;39;Yanni Regäsel;D;6;0;0
138;15;34;Maximilian Mittelstädt;D;2;0;0
139;15;0;Nico Beyer;D;0;0;0
140;15;3;Per Skjelbred;NOR;30;0;2
141;15;24;Genki Haraguchi;JAP;30;2;4
142;15;6;Vladimír Darida;CZE;29;4;3
143;15;28;Fabian Lustenberger;CH;28;1;0
144;15;9;Alexander Baumjohann;D;23;1;2
145;15;14;Valentin Stocker;CH;20;1;0
146;15;17;Tolga Cigerci;TUR;18;0;1
147;15;13;Jens Hegeler;D;16;0;1
148;15;27;Roy Beerens;NL;2;0;0
149;15;12;Ronny;BRA;1;0;0
150;15;26;Nico Schulz;D;1;0;0
151;15;31;Florian Kohls;D;1;0;0
152;15;7;Hajime Hosogai;JAP;0;0;0
153;15;10;Änis Ben-Hatira;D;0;0;0
154;15;11;Salomon Kalou;CIV;30;14;2
155;15;19;Vedad Ibisevic;BOS;25;10;3
156;15;16;Julian Schieber;D;4;0;1
157;15;11;Sami Allagui;TUN;0;0;0
158;15;18;Sinan Kurt;D;0;0;0
159;6;1;Ralf Fährmann;D;32;0;0
160;6;30;Michael Gspurning;A;0;0;0
161;6;34;Fabian Giefer;D;0;0;0
162;6;0;Alexander Nübel;D;0;0;0
163;6;32;Joel Matip;CMR/D;32;3;4
164;6;33;Roman Neustädter;D;28;0;1
165;6;15;Dennis Aogo;D;23;0;1
166;6;3;Junior Caicara;BRA;22;0;3
167;6;6;Sead Kolasinac;D/CRO;21;1;0
168;6;27;Sascha Riether;D;17;0;0
169;6;4;Benedikt Höwedes;D;13;1;0
170;6;2;Marvin Friedrich;D;2;0;0
171;6;20;Thilo Kehrer;D;1;0;0
172;6;24;Kaan Ayhan;D;1;0;0
173;6;31;Matija Nastasic;SER;1;0;0
174;6;22;Atsuto Uchida;JAP;0;0;0
175;6;0;Felipe Santana;BRA;0;0;0
176;6;7;Maximilian Meyer;D;30;5;7
177;6;5;Johannes Geis;D;26;2;6
178;6;8;Leon Goretzka;D;24;1;4
179;6;23;Pierre Emil Höjbjerg;DEN;22;0;1
180;6;11;Younes Belhanda;MAR/F;14;2;0
181;6;21;Allesandro Schöpf;A;11;3;2
182;6;12;Marco Höger;D;4;0;0
183;6;10;Julian Draxler;D;3;1;0
184;6;9;Kevin-Prince Boateng;GHA/D;0;0;0
185;6;16;Maurice Multhaup;D;0;0;0
186;6;27;Tranquillo Barnetta;CH;0;0;0
187;6;19;Leroy Sané;D/F;30;7;6
188;6;25;Klaas Jan Huntelaar;NL;29;10;2
189;6;13;Eric Maxim Choupo-Moting;CMR/D;26;5;2
190;6;9;Franco Di Santo;ARG;25;2;1
191;6;18;Sidney Sam;D;3;0;0
192;6;36;Felix Platte;D;1;0;0
193;6;0;Fabian Reese;D;1;0;0
194;6;0;Felix Schröter;D;0;0;0
195;11;21;Loris Karius;D;32;0;0
196;11;23;Gianluca Curci;I;0;0;0
197;11;33;Jannik Huth;D;0;0;0
198;11;18;Daniel Brosinski;D;30;1;3
199;11;16;Stefan Bell;D;28;1;4
200;11;3;Leon Balogun;D;21;1;0
201;11;26;Niko Bungert;D;19;0;0
202;11;7;Pierre Bengtsson;SWE;15;0;0
203;11;24;Gaetan Bussmann;F;11;1;0
204;11;2;Giulio Donati;I;9;0;1
